{ _pinturaperfis   // Cor Pintura Perfil
   *AZZERA*            =0
   DESCRIZIONE         =Cor Pintura Perfil
   ALIAS               =
   OBBLIGATO           =False
   CLASSE              =^3;6;120;120;3,7;#FOTO\MADEIRA\;2;3;;;1;
   MEMO                =1Código 1800Descrição 5250Preview 4725material base 2115cod pintura 1200LITRO PINTURA POR ML 3225rgb 1200COLUNA 6 = QUANTIDADE EM LITROS DE ACORDO COM METRO LINEAR UTILIZADO

   { 
      //       ,Descrição        ,Preview                           ,mate,cod pi,LITRO ,rgb
      005.1324 ,1020 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,165;210;213
      005.1325 ,1020 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,169;212;214
      005.1326 ,1020 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,168;213;210
      005.1327 ,1020 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,172;216;211
      005.1328 ,1020 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,169;217;207
      005.1329 ,1020 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,175;216;197
      005.133  ,1020 G           ,001.jpg                           ,4   ,4458  ,0.002 ,175;216;192
      005.1330 ,1020 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,185;218;189
      005.1331 ,1020 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,189;217;183
      005.1332 ,1020 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,194;216;179
      005.1333 ,1020 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;215;172
      005.1334 ,1020 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;223;174
      005.1335 ,1020 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,215;219;168
      005.1336 ,1020 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,220;221;169
      005.1337 ,1020 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,224;219;164
      005.1338 ,1020 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,233;221;166
      005.1339 ,1020 R           ,001.jpg                           ,4   ,4458  ,0.002 ,236;186;185
      005.134  ,1020 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,230;188;193
      005.1340 ,1020 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,229;187;198
      005.1341 ,1020 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,226;188;202
      005.1342 ,1020 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,218;191;209
      005.1343 ,1020 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,211;193;215
      005.1344 ,1020 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,204;198;223
      005.1345 ,1020 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,189;199;224
      005.1346 ,1020 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,183;201;220
      005.1347 ,1020 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,178;206;224
      005.1348 ,1020 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,234;216;161
      005.1349 ,1020 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,232;210;158
      005.135  ,1020 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,239;207;156
      005.1350 ,1020 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,243;202;154
      005.1351 ,1020 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,242;194;153
      005.1352 ,1020 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;193;159
      005.1353 ,1020 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,238;187;161
      005.1354 ,1020 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,240;190;169
      005.1355 ,1020 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,237;188;175
      005.1356 ,1020 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,237;190;182
      005.1357 ,1030 B           ,001.jpg                           ,4   ,4458  ,0.002 ,144;196;217
      005.1358 ,1030 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,133;198;213
      005.1359 ,1030 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,131;199;204
      005.136  ,1030 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,136;205;206
      005.1360 ,1030 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,138;205;202
      005.1361 ,1030 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,140;209;201
      005.1362 ,1030 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,145;211;200
      005.1363 ,1030 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,149;212;187
      005.1364 ,1030 G           ,001.jpg                           ,4   ,4458  ,0.002 ,153;211;178
      005.1365 ,1030 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,162;210;168
      005.1366 ,1030 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,168;209;163
      005.1367 ,1030 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,175;208;155
      005.1368 ,1030 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,191;211;153
      005.1369 ,1030 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;213;146
      005.137  ,1030 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,208;214;143
      005.1370 ,1030 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,215;216;142
      005.1371 ,1030 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,224;217;140
      005.1372 ,1030 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,230;215;139
      005.1373 ,1030 R           ,001.jpg                           ,4   ,4458  ,0.002 ,237;169;171
      005.1374 ,1030 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,233;170;178
      005.1375 ,1030 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,227;169;183
      005.1376 ,1030 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,226;172;195
      005.1377 ,1030 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,219;174;206
      005.1378 ,1030 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,206;179;211
      005.1379 ,1030 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,191;183;222
      005.138  ,1030 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,176;187;223
      005.1380 ,1030 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,166;190;225
      005.1381 ,1030 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,154;190;218
      005.1382 ,1030 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,230;208;134
      005.1383 ,1030 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,240;204;134
      005.1384 ,1030 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;201;136
      005.1385 ,1030 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;193;134
      005.1386 ,1030 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;185;134
      005.1387 ,1030 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,252;182;140
      005.1388 ,1030 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;177;143
      005.1389 ,1030 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;172;146
      005.139  ,1030 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,238;166;150
      005.1390 ,1030 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,236;167;159
      005.1391 ,1040 B           ,001.jpg                           ,4   ,4458  ,0.002 ,109;185;214
      005.1392 ,1040 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,100;190;211
      005.1393 ,1040 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,107;196;211
      005.1394 ,1040 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,99;194;203
      005.1395 ,1040 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,91;195;199
      005.1396 ,1040 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,96;199;196
      005.1397 ,1040 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,100;202;193
      005.1398 ,1040 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,99;202;190
      005.1399 ,1040 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,112;207;186
      005.140  ,1040 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,116;207;178
      005.1400 ,1040 G           ,001.jpg                           ,4   ,4458  ,0.002 ,122;204;166
      005.1401 ,1040 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,136;206;156
      005.1402 ,1040 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,148;204;143
      005.1403 ,1040 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,163;208;138
      005.1404 ,1040 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,180;204;129
      005.1405 ,1040 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,192;209;125
      005.1406 ,1040 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;210;119
      005.1407 ,1040 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;211;114
      005.1408 ,1040 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,222;215;115
      005.1409 ,1040 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,229;213;115
      005.141  ,1040 R           ,001.jpg                           ,4   ,4458  ,0.002 ,237;149;153
      005.1410 ,1040 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,226;145;156
      005.1411 ,1040 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,233;149;173
      005.1412 ,1040 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,223;148;184
      005.1413 ,1040 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,215;159;202
      005.1414 ,1040 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,202;163;215
      005.1415 ,1040 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,183;166;221
      005.1416 ,1040 R70B        ,001.jpg                           ,4   ,4458  ,0.002 ,157;170;223
      005.1417 ,1040 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,143;177;224
      005.1418 ,1040 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,127;178;217
      005.1419 ,1040 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,241;212;116
      005.142  ,1040 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;202;110
      005.1420 ,1040 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;193;109
      005.1421 ,1040 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,253;183;111
      005.1422 ,1040 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;170;111
      005.1423 ,1040 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,251;166;115
      005.1424 ,1040 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;163;124
      005.1425 ,1040 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,242;152;124
      005.1426 ,1040 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;151;134
      005.1427 ,1040 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,241;152;143
      005.1428 ,1050 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,226;122;155
      005.1429 ,1050 B           ,001.jpg                           ,4   ,4458  ,0.002 ,71;173;211
      005.143  ,1050 B10G        ,001.jpg                           ,4   ,4458  ,0.002 ,41;179;210
      005.1430 ,1050 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,24;183;204
      005.1431 ,1050 B30G        ,001.jpg                           ,4   ,4458  ,0.002 ,32;187;199
      005.1432 ,1050 B40G        ,001.jpg                           ,4   ,4458  ,0.002 ,21;191;196
      005.1433 ,1050 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,21;191;189
      005.1434 ,1050 B60G        ,001.jpg                           ,4   ,4458  ,0.002 ,21;195;186
      005.1435 ,1050 B70G        ,001.jpg                           ,4   ,4458  ,0.002 ,26;198;181
      005.1436 ,1050 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,51;198;174
      005.1437 ,1050 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,70;197;163
      005.1438 ,1050 G           ,001.jpg                           ,4   ,4458  ,0.002 ,85;196;150
      005.1439 ,1050 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,114;200;136
      005.144  ,1050 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,132;198;125
      005.1440 ,1050 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,150;201;117
      005.1441 ,1050 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,166;198;103
      005.1442 ,1050 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,184;204;98
      005.1443 ,1050 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,197;208;95
      005.1444 ,1050 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,209;212;94
      005.1445 ,1050 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,215;207;90
      005.1446 ,1050 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,226;207;86
      005.1447 ,1050 R           ,001.jpg                           ,4   ,4458  ,0.002 ,231;126;129
      005.1448 ,1050 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,233;128;144
      005.1449 ,1050 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,225;124;157
      005.145  ,1050 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,224;126;173
      005.1450 ,1050 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,209;132;190
      005.1451 ,1050 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,92;169;224
      005.1452 ,1050 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,239;206;89
      005.1453 ,1050 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;195;87
      005.1454 ,1050 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;182;87
      005.1455 ,1050 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;169;89
      005.1456 ,1050 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;160;90
      005.1457 ,1050 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,246;152;92
      005.1458 ,1050 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,245;143;101
      005.1459 ,1050 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,245;138;104
      005.146  ,1050 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,242;134;115
      005.1460 ,1050 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,237;127;123
      005.1461 ,1055 B90G        ,001.jpg                           ,4   ,4458  ,0.002 ,26;191;153
      005.1462 ,1060 B           ,001.jpg                           ,4   ,4458  ,0.002 ,0;162;213
      005.1463 ,1060 G           ,001.jpg                           ,4   ,4458  ,0.002 ,16;186;131
      005.1464 ,1060 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,74;187;115
      005.1465 ,1060 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,104;190;100
      005.1466 ,1060 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,135;195;92
      005.1467 ,1060 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,160;197;83
      005.1468 ,1060 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,177;200;74
      005.1469 ,1060 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,190;204;68
      005.147  ,1060 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;201;60
      005.1470 ,1060 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;201;61
      005.1471 ,1060 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,226;203;62
      005.1472 ,1060 R           ,001.jpg                           ,4   ,4458  ,0.002 ,226;100;111
      005.1473 ,1060 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,227;98;123
      005.1474 ,1060 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,220;92;133
      005.1475 ,1060 R30B        ,001.jpg                           ,4   ,4458  ,0.002 ,219;94;158
      005.1476 ,1060 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,245;205;61
      005.1477 ,1060 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,250;190;57
      005.1478 ,1060 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,252;176;61
      005.1479 ,1060 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,249;160;64
      005.148  ,1060 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,243;145;68
      005.1480 ,1060 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,244;136;73
      005.1481 ,1060 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,240;128;82
      005.1482 ,1060 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,238;119;85
      005.1483 ,1060 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,236;110;92
      005.1484 ,1060 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,233;106;102
      005.1485 ,1070 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,78;184;80
      005.1486 ,1070 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,114;180;62
      005.1487 ,1070 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,146;187;48
      005.1488 ,1070 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,166;189;36
      005.1489 ,1070 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,181;196;36
      005.149  ,1070 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,197;199;5
      005.1490 ,1070 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;201;6
      005.1491 ,1070 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,224;197;12
      005.1492 ,1070 R           ,001.jpg                           ,4   ,4458  ,0.002 ,216;63;79
      005.1493 ,1070 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,214;63;97
      005.1494 ,1070 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,211;57;113
      005.1495 ,1070 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,240;195;7
      005.1496 ,1070 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,245;181;10
      005.1497 ,1070 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;166;30
      005.1498 ,1070 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;148;38
      005.1499 ,1070 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,247;134;39
      005.150  ,1070 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,242;123;48
      005.1500 ,1070 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,236;112;55
      005.1501 ,1070 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,234;102;65
      005.1502 ,1070 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,229;89;73
      005.1503 ,1070 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,224;75;76
      005.1504 ,1075 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,58;171;57
      005.1505 ,1075 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,138;182;14
      005.1506 ,1075 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,158;185;0
      005.1507 ,1075 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,180;193;0
      005.1508 ,1075 G70Y        ,001.jpg                           ,4   ,4458  ,0.002 ,195;196;0
      005.1509 ,1075 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,207;196;0
      005.151  ,1075 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,221;191;0
      005.1510 ,1080 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,93;174;0
      005.1511 ,1080 R           ,001.jpg                           ,4   ,4458  ,0.002 ,196;2;51
      005.1512 ,1080 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,236;189;0
      005.1513 ,1080 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,248;180;0
      005.1514 ,1080 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,245;155;0
      005.1515 ,1080 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,241;134;0
      005.1516 ,1080 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,237;117;0
      005.1517 ,1080 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,237;106;20
      005.1518 ,1080 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,227;87;0
      005.1519 ,1080 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,224;77;33
      005.152  ,1080 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,220;60;42
      005.1520 ,1080 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,209;29;43
      005.1521 ,1085 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,217;47;30
      005.1522 ,1085 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,208;19;37
      005.1523 ,1500 N           ,001.jpg                           ,4   ,4458  ,0.002 ,211;211;207
      005.1524 ,1502 B           ,001.jpg                           ,4   ,4458  ,0.002 ,203;209;210
      005.1525 ,1502 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,205;210;210
      005.1526 ,1502 G           ,001.jpg                           ,4   ,4458  ,0.002 ,205;207;204
      005.1527 ,1502 G50Y        ,001.jpg                           ,4   ,4458  ,0.002 ,209;210;203
      005.1528 ,1502 R           ,001.jpg                           ,4   ,4458  ,0.002 ,210;206;205
      005.1529 ,1502 R50B        ,001.jpg                           ,4   ,4458  ,0.002 ,209;206;208
      005.153  ,1502 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,210;209;200
      005.1530 ,1502 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,212;206;198
      005.1531 ,1505 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;210;193
      005.1532 ,1505 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,213;210;192
      005.1533 ,1505 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,215;209;190
      005.1534 ,1505 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,217;209;190
      005.1535 ,1505 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,219;208;190
      005.1536 ,1505 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,220;207;190
      005.1537 ,1505 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,218;205;187
      005.1538 ,1505 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,218;204;191
      005.1539 ,1505 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,220;204;193
      005.154  ,1505 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,217;204;196
      005.1540 ,1505 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,215;201;196
      005.1541 ,1505 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,215;201;198
      005.1542 ,1510 B           ,001.jpg                           ,4   ,4458  ,0.002 ,185;201;208
      005.1543 ,1510 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,183;202;205
      005.1544 ,1510 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,184;205;204
      005.1545 ,1510 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,185;206;198
      005.1546 ,1510 G           ,001.jpg                           ,4   ,4458  ,0.002 ,188;207;195
      005.1547 ,1510 G10Y        ,001.jpg                           ,4   ,4458  ,0.002 ,181;197;182
      005.1548 ,1510 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,194;208;189
      005.1549 ,1510 G30Y        ,001.jpg                           ,4   ,4458  ,0.002 ,185;195;177
      005.155  ,1510 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,200;207;184
      005.1550 ,1510 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,205;209;182
      005.1551 ,1510 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,214;210;180
      005.1552 ,1510 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,213;207;175
      005.1553 ,1510 R           ,001.jpg                           ,4   ,4458  ,0.002 ,217;193;190
      005.1554 ,1510 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,216;193;194
      005.1555 ,1510 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,215;193;198
      005.1556 ,1510 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,209;194;203
      005.1557 ,1510 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,202;200;211
      005.1558 ,1510 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,191;200;210
      005.1559 ,1510 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,189;200;210
      005.156  ,1510 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,218;206;174
      005.1560 ,1510 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,220;205;172
      005.1561 ,1510 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,224;204;172
      005.1562 ,1510 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,222;200;171
      005.1563 ,1510 Y40R        ,001.jpg                           ,4   ,4458  ,0.002 ,225;199;173
      005.1564 ,1510 Y50R        ,001.jpg                           ,4   ,4458  ,0.002 ,224;197;176
      005.1565 ,1510 Y60R        ,001.jpg                           ,4   ,4458  ,0.002 ,222;196;178
      005.1566 ,1510 Y70R        ,001.jpg                           ,4   ,4458  ,0.002 ,220;193;179
      005.1567 ,1510 Y80R        ,001.jpg                           ,4   ,4458  ,0.002 ,219;193;183
      005.1568 ,1510 Y90R        ,001.jpg                           ,4   ,4458  ,0.002 ,215;190;184
      005.1569 ,1515 B           ,001.jpg                           ,4   ,4458  ,0.002 ,173;197;208
      005.157  ,1515 B20G        ,001.jpg                           ,4   ,4458  ,0.002 ,172;201;205
      005.1570 ,1515 B50G        ,001.jpg                           ,4   ,4458  ,0.002 ,170;202;200
      005.1571 ,1515 B80G        ,001.jpg                           ,4   ,4458  ,0.002 ,174;205;195
      005.1572 ,1515 G           ,001.jpg                           ,4   ,4458  ,0.002 ,177;205;187
      005.1573 ,1515 G20Y        ,001.jpg                           ,4   ,4458  ,0.002 ,184;204;180
      005.1574 ,1515 G40Y        ,001.jpg                           ,4   ,4458  ,0.002 ,195;205;173
      005.1575 ,1515 G60Y        ,001.jpg                           ,4   ,4458  ,0.002 ,204;206;169
      005.1576 ,1515 G80Y        ,001.jpg                           ,4   ,4458  ,0.002 ,212;208;166
      005.1577 ,1515 G90Y        ,001.jpg                           ,4   ,4458  ,0.002 ,217;207;162
      005.1578 ,1515 R           ,001.jpg                           ,4   ,4458  ,0.002 ,219;185;181
      005.1579 ,1515 R10B        ,001.jpg                           ,4   ,4458  ,0.002 ,218;185;187
      005.158  ,1515 R20B        ,001.jpg                           ,4   ,4458  ,0.002 ,216;185;192
      005.1580 ,1515 R40B        ,001.jpg                           ,4   ,4458  ,0.002 ,207;189;204
      005.1581 ,1515 R60B        ,001.jpg                           ,4   ,4458  ,0.002 ,194;193;212
      005.1582 ,1515 R80B        ,001.jpg                           ,4   ,4458  ,0.002 ,180;195;212
      005.1583 ,1515 R90B        ,001.jpg                           ,4   ,4458  ,0.002 ,177;196;210
      005.1584 ,1515 Y           ,001.jpg                           ,4   ,4458  ,0.002 ,219;206;163
      005.1585 ,1515 Y10R        ,001.jpg                           ,4   ,4458  ,0.002 ,221;201;160
      005.1586 ,1515 Y20R        ,001.jpg                           ,4   ,4458  ,0.002 ,225;200;158
      005.1587 ,1515 Y30R        ,001.jpg                           ,4   ,4458  ,0.002 ,227;195;157
